nombre_producto,precio_base,distancia_envio_km,iva,costo_envio,precio_final,envio_gratis,total_impuestos_recargos
"Laptop HP 15""",450000,15,85500.0,15000,550500.0,False,100500.0
Mouse Inalámbrico Logitech,25000,5,4750.0,5000,34750.0,False,9750.0
Teclado Mecánico Redragon,58000,20,11020.0,20000,89020.0,False,31020.0
"Monitor Samsung 24""",185000,0,35150.0,0,220150.0,True,35150.0
Audífonos Sony WH-1000XM4,210000,8,39900.0,8000,257900.0,False,47900.0
Silla Gamer DXRacer,320000,25,60800.0,25000,405800.0,False,85800.0
Disco SSD Kingston 1TB,62000,3,11780.0,3000,76780.0,False,14780.0
Webcam Logitech C920,75000,12,14250.0,12000,101250.0,False,26250.0
Micrófono Blue Yeti,130000,0,24700.0,0,154700.0,True,24700.0
Tablet Samsung Galaxy A7,195000,18,37050.0,18000,250050.0,False,55050.0
Impresora HP LaserJet,145000,30,27550.0,30000,202550.0,False,57550.0
Router TP-Link WiFi 6,89000,7,16910.0,7000,112910.0,False,23910.0
Smartphone Xiaomi Redmi Note 12,275000,0,52250.0,0,327250.0,True,52250.0
Memoria RAM Kingston 16GB,42000,2,7980.0,2000,51980.0,False,9980.0
Tarjeta Gráfica GTX 1660,380000,22,72200.0,22000,474200.0,False,94200.0
